date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-06-14, 13:03:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:03:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:04:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:04:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:04:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:04:06	0 Hz	0 W	1E3 mbar	5,8E2 mbar
2021-06-14, 13:04:08	0 Hz	0 W	1E3 mbar	3,9E2 mbar
2021-06-14, 13:04:10	0 Hz	0 W	1E3 mbar	3,4E2 mbar
2021-06-14, 13:04:12	0 Hz	0 W	1E3 mbar	2,8E2 mbar
2021-06-14, 13:04:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2021-06-14, 13:04:16	0 Hz	0 W	1E3 mbar	1,6E2 mbar
2021-06-14, 13:04:18	0 Hz	0 W	5,5E2 mbar	1,3E2 mbar
2021-06-14, 13:04:20	0 Hz	0 W	3,6E2 mbar	1E2 mbar
2021-06-14, 13:04:22	0 Hz	0 W	2,1E2 mbar	9E1 mbar
2021-06-14, 13:04:24	0 Hz	0 W	1,6E2 mbar	7,3E1 mbar
2021-06-14, 13:04:26	0 Hz	0 W	1,1E2 mbar	6,5E1 mbar
2021-06-14, 13:04:28	0 Hz	0 W	8,5E1 mbar	5,7E1 mbar
2021-06-14, 13:04:30	0 Hz	0 W	7,3E1 mbar	4,8E1 mbar
2021-06-14, 13:04:32	0 Hz	0 W	6,2E1 mbar	3,9E1 mbar
2021-06-14, 13:04:34	0 Hz	0 W	5,2E1 mbar	3,7E1 mbar
2021-06-14, 13:04:36	0 Hz	0 W	4,1E1 mbar	3,3E1 mbar
2021-06-14, 13:04:38	0 Hz	0 W	3,6E1 mbar	2,9E1 mbar
2021-06-14, 13:04:40	0 Hz	0 W	3,2E1 mbar	2,6E1 mbar
2021-06-14, 13:04:42	0 Hz	0 W	2,9E1 mbar	2,2E1 mbar
2021-06-14, 13:04:44	0 Hz	0 W	2,4E1 mbar	1,9E1 mbar
2021-06-14, 13:04:46	0 Hz	0 W	2,1E1 mbar	1,7E1 mbar
2021-06-14, 13:04:48	0 Hz	0 W	1,8E1 mbar	1,6E1 mbar
2021-06-14, 13:04:50	0 Hz	0 W	1,7E1 mbar	1,5E1 mbar
2021-06-14, 13:04:52	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2021-06-14, 13:04:54	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2021-06-14, 13:04:56	0 Hz	0 W	1,2E1 mbar	1E1 mbar
2021-06-14, 13:04:58	0 Hz	0 W	1,1E1 mbar	9,5E0 mbar
2021-06-14, 13:05:00	0 Hz	0 W	1E1 mbar	8,9E0 mbar
2021-06-14, 13:05:02	0 Hz	0 W	9,4E0 mbar	8,4E0 mbar
2021-06-14, 13:05:04	0 Hz	0 W	8,7E0 mbar	7,8E0 mbar
2021-06-14, 13:05:06	0 Hz	0 W	8,1E0 mbar	7,2E0 mbar
2021-06-14, 13:05:08	0 Hz	0 W	7,6E0 mbar	6,8E0 mbar
2021-06-14, 13:05:10	0 Hz	0 W	7,1E0 mbar	6,6E0 mbar
2021-06-14, 13:05:12	0 Hz	0 W	6,9E0 mbar	6,4E0 mbar
2021-06-14, 13:05:14	0 Hz	0 W	6,6E0 mbar	6,2E0 mbar
2021-06-14, 13:05:16	0 Hz	0 W	6,4E0 mbar	6E0 mbar
2021-06-14, 13:05:18	0 Hz	0 W	6,2E0 mbar	5,8E0 mbar
2021-06-14, 13:05:20	0 Hz	0 W	6E0 mbar	5,6E0 mbar
2021-06-14, 13:05:22	0 Hz	0 W	5,9E0 mbar	5,4E0 mbar
2021-06-14, 13:05:24	0 Hz	0 W	5,7E0 mbar	5,3E0 mbar
2021-06-14, 13:05:26	0 Hz	0 W	5,5E0 mbar	5,1E0 mbar
2021-06-14, 13:05:28	0 Hz	0 W	5,4E0 mbar	5E0 mbar
2021-06-14, 13:05:30	0 Hz	0 W	5,3E0 mbar	4,9E0 mbar
2021-06-14, 13:05:32	0 Hz	0 W	5,1E0 mbar	4,7E0 mbar
2021-06-14, 13:05:34	0 Hz	0 W	5E0 mbar	4,6E0 mbar
2021-06-14, 13:05:36	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2021-06-14, 13:05:38	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2021-06-14, 13:05:40	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2021-06-14, 13:05:42	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2021-06-14, 13:05:44	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2021-06-14, 13:05:46	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2021-06-14, 13:05:48	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2021-06-14, 13:05:50	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2021-06-14, 13:05:52	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2021-06-14, 13:05:54	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2021-06-14, 13:05:56	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2021-06-14, 13:05:58	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2021-06-14, 13:06:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-06-14, 13:06:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-06-14, 13:06:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-06-14, 13:06:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2021-06-14, 13:06:08	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-06-14, 13:06:10	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-06-14, 13:06:12	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-06-14, 13:06:14	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-06-14, 13:06:16	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2021-06-14, 13:06:18	0 Hz	0 W	3,8E0 mbar	3,5E0 mbar
2021-06-14, 13:06:20	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:22	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:24	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:26	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:28	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:30	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:32	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2021-06-14, 13:06:34	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2021-06-14, 13:06:36	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
