date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-06-14, 13:48:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:48:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:49:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:50:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2021-06-14, 13:50:02	0 Hz	0 W	1E3 mbar	1E3 mbar
