20.8	0	0	0	0	0	0
186.9	0.011	0.025	0.037	0.05	0.06	0.075
389.3	0.023	0.051	0.076	0.102	0.127	0.153
576.7	0.033	0.076	0.115	0.153	0.18	0.231
747.1	0.043	0.101	0.15	0.199	0.25	0.302
868.3	0.05	0.118	0.174	0.235	0.292	0.353
949.2	0.056	0.127	0.193	0.259	0.324	0.389
1011	0.059	0.137	0.205	0.276	0.347	0.416
